"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,100","NIVEL,C,50","TIPOLOGIA,C,50","INSTITUCIO,C,50","X,N,19,11","Y,N,19,11"
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,AGUAS FRIAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47399555610,-1.29794146435
PICHINCHA,PEDRO MONCAYO,TUPIGACHI,CAYAMBE-PEDRO MONCAYO,TABACUNDO-TUPIGACHI,TUPIGACHI,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.18065291460,0.07641989441
PICHINCHA,PEDRO MONCAYO,TABACUNDO,CAYAMBE-PEDRO MONCAYO,TABACUNDO-TUPIGACHI,U.A.A. TABACUNDO,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-78.21355159210,0.04676122937
ESMERALDAS,ESMERALDAS,CHINCA,ESMERALDAS,CHINCA-MAJUA-SAN MATEO,DISPENSARIO CHIG▄E,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.60070950040,0.77618779047
PICHINCHA,RUMIÐAHUI,SANGOLQUI,MEJIA-RUMIÐAHUI,SANGOLQUI,SAN PEDRO DE TABOADA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.46066676790,-0.32001249103
PICHINCHA,RUMIÐAHUI,SANGOLQUI,MEJIA-RUMIÐAHUI,SANGOLQUI,U.A.A. SANGOLQUI,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-78.44487818900,-0.32797109011
CAÐAR,CAÐAR,DUCUR,CAÐAR-EL TAMBO-SUSCAL,GENERAL MORALES (SOCARTE)-VENTURA-CHONTAMARCA-DUCUR,DISPENSARIO CHILCHIL,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.11667831590,-2.44898712283
PICHINCHA,RUMIÐAHUI,SANGOLQUI,MEJIA-RUMIÐAHUI,SANGOLQUI,JATUNPUNGO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.43154055040,-0.36111074171
PICHINCHA,RUMIÐAHUI,SANGOLQUI,MEJIA-RUMIÐAHUI,SANGOLQUI,SAN FERNANDO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.42291823230,-0.37375258382
EL ORO,MACHALA,MACHALA,MACHALA,MACHALA,BRISAS DEL MAR - 24 HD. *,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.97097826290,-3.26394170061
TUNGURAHUA,AMBATO,AMBATILLO,AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,AMBATILLO-SAN BARTOLOME DE PINLLOG,AMBATILLO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.65721878310,-1.23314915590
PICHINCHA,RUMIÐAHUI,SANGOLQUI,MEJIA-RUMIÐAHUI,SANGOLQUI,FAJARDO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.46684703410,-0.34204063730
TUNGURAHUA,AMBATO,ATAHUALPA (CHISALATA),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),ATAHUALPA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.61086273600,-1.21802097383
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),PONDOA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.62161951810,-1.20013247519
COTOPAXI,LA MAN┴,LA MAN┴,LA MANA,LA MANA,DISPENSARIO CHIPE HAMBURGO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.30981676000,-0.95003874700
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),SAMANGA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.61748435880,-1.18383079926
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),SAN JOSE DE ANGAHUANA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.63530145260,-1.17438177414
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),AUGUSTO  N. MARTINEZ,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.62101970240,-1.21856334777
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),CALGUA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.63801527330,-1.15088126972
LOJA,GONZANAM┴,CHANGAIMINA (LA LIBERTAD),CALVAS-GONZANAMA-QUILANGA,SACAPALCA-CHANGAIMINA (LA LIBERTAD),DISPENSARIO CHIRIGUALA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.51604587690,-4.26013344519
TUNGURAHUA,AMBATO,AUGUSTO N. MART═NEZ (MUNDUGLEO),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CONSTATINO FERNANDEZ (CAB EN CULLIT)-AUGUSTO N. MARTINEZ (MUNDUGLEO)-ATAHUALPA (CHISALATA),CONSTANTINO FERNADEZ,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.62101970240,-1.21856334777
TUNGURAHUA,AMBATO,HUACHI GRANDE,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,MONTALVO-HUACHI GRANDE,HUACHI GRANDE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.63830880560,-1.30737407342
TUNGURAHUA,AMBATO,IZAMBA,AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,IZAMBA,IZAMBA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.58681887960,-1.23050061911
TUNGURAHUA,AMBATO,TOTORAS,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PICAIGUA-TOTORAS,TOTORAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.59646458520,-1.31734959371
CAÐAR,SUSCAL,SUSCAL,CAÐAR-EL TAMBO-SUSCAL,SUSCAL,DISPENSARIO CHOCARPAMBA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.06596463020,-2.44906248384
TUNGURAHUA,AMBATO,JUAN BENIGNO VELA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,CHIBULEO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.71866266450,-1.31287291501
TUNGURAHUA,AMBATO,JUAN BENIGNO VELA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,JUAN BENIGNO VELA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.69165822130,-1.29870054255
TUNGURAHUA,AMBATO,CUNCHIBAMBA,AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CUNCHIBAMBA-UNAMUNCHO,CUNCHIBAMBA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.58573300030,-1.13614849074
TUNGURAHUA,AMBATO,UNAMUNCHO,AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,CUNCHIBAMBA-UNAMUNCHO,UNAMUNCHO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.60116770160,-1.16106471377
LOJA,SOZORANGA,SOZORANGA,MACARA-SOZORANGA,SOZORANGA-NUEVA FATIMA,DISPENSARIO CHORORA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.75608653570,-4.37251538054
TUNGURAHUA,BAÐOS DE AGUA SANTA,BAÐOS DE AGUA SANTA,BAÐOS DE AGUA SANTA,LLIGUA-BAÐOS DE AGUA SANTA-ULBA,U.A.A. BAÐOS,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-78.41973796380,-1.39879838269
TUNGURAHUA,BAÐOS DE AGUA SANTA,BAÐOS DE AGUA SANTA,BAÐOS DE AGUA SANTA,LLIGUA-BAÐOS DE AGUA SANTA-ULBA,HOSPITAL BASICO BAÐOS,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-78.42588934510,-1.40039167275
TUNGURAHUA,MOCHA,PINGUIL═,CEVALLOS-MOCHA-QUERO-TISALEO,PINGUILI-MOCHA,PINGUILI STO.DOMINGO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.61969885820,-1.38214848519
TUNGURAHUA,PATATE,PATATE,PATATE-SAN PEDRO DE PELILEO,EL TRIUNFO-PATATE-LOS ANDES (CAB EN POATUG)-SUCRE (CAB EN SUCRE- PATATE  URCO),PATATE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.51072193720,-1.31061236352
COTOPAXI,PUJILI,PUJIL═,PUJILI-SAQUISILI,PUJILI,DISPENSARIO CHUGCHIL┴N,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.65915056600,-0.95894255206
TUNGURAHUA,PATATE,PATATE,PATATE-SAN PEDRO DE PELILEO,EL TRIUNFO-PATATE-LOS ANDES (CAB EN POATUG)-SUCRE (CAB EN SUCRE- PATATE  URCO),DISPENSARIO SAN RAFAEL BAJO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.48365266260,-1.36435556707
TUNGURAHUA,BAÐOS DE AGUA SANTA,R═O NEGRO,BAÐOS DE AGUA SANTA,RIO VERDE-RIO NEGRO,DISPENSARIO SAN FRANCISCO 3,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.25225300870,-1.41018361236
TUNGURAHUA,BAÐOS DE AGUA SANTA,R═O NEGRO,BAÐOS DE AGUA SANTA,RIO VERDE-RIO NEGRO,RIO NEGRO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.21392039390,-1.41412711038
TUNGURAHUA,BAÐOS DE AGUA SANTA,R═O VERDE,BAÐOS DE AGUA SANTA,RIO VERDE-RIO NEGRO,RIO VERDE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.29873033950,-1.40434142034
TUNGURAHUA,BAÐOS DE AGUA SANTA,ULBA,BAÐOS DE AGUA SANTA,LLIGUA-BAÐOS DE AGUA SANTA-ULBA,RIO BLANCO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.34972540570,-1.39629354358
CAÐAR,CAÐAR,INGAPIRCA,CAÐAR-EL TAMBO-SUSCAL,HONORATO VASQUEZ (TAMBO VIEJO)-INGAPIRCA,DISPENSARIO CHUG▄═N,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.87781254560,-2.55798850894
TUNGURAHUA,CEVALLOS,CEVALLOS,CEVALLOS-MOCHA-QUERO-TISALEO,CEVALLOS,STO. DMGO. DE CEVALLOS,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.63110028660,-1.35078390340
TUNGURAHUA,CEVALLOS,CEVALLOS,CEVALLOS-MOCHA-QUERO-TISALEO,CEVALLOS,ANDIGNATO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.59598687200,-1.35602810932
TUNGURAHUA,CEVALLOS,CEVALLOS,CEVALLOS-MOCHA-QUERO-TISALEO,CEVALLOS,CEVALLOS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.61557364250,-1.35762950762
TUNGURAHUA,CEVALLOS,CEVALLOS,CEVALLOS-MOCHA-QUERO-TISALEO,CEVALLOS,LA FLORIDA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.60794105740,-1.33758170987
TUNGURAHUA,MOCHA,MOCHA,CEVALLOS-MOCHA-QUERO-TISALEO,PINGUILI-MOCHA,YANAHURCO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.63556723710,-1.36602890908
TUNGURAHUA,MOCHA,MOCHA,CEVALLOS-MOCHA-QUERO-TISALEO,PINGUILI-MOCHA,EL ROSAL,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.61983292200,-1.37376908533
TUNGURAHUA,MOCHA,MOCHA,CEVALLOS-MOCHA-QUERO-TISALEO,PINGUILI-MOCHA,MOCHA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.66002581970,-1.41912494175
TUNGURAHUA,PATATE,EL TRIUNFO,PATATE-SAN PEDRO DE PELILEO,EL TRIUNFO-PATATE-LOS ANDES (CAB EN POATUG)-SUCRE (CAB EN SUCRE- PATATE  URCO),EL TRIUNFO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.40488706920,-1.30517181260
TUNGURAHUA,PATATE,SUCRE (CAB. EN SUCRE-PATATE URCU),PATATE-SAN PEDRO DE PELILEO,EL TRIUNFO-PATATE-LOS ANDES (CAB EN POATUG)-SUCRE (CAB EN SUCRE- PATATE  URCO),POATUG,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.48822749640,-1.27236582494
LOJA,PUYANGO,CIANO,CELICA-PINDAL-PUYANGO,CIANO-EL ARENAL-VICENTINO-MERCADILLO,DISPENSARIO CIANO NUEVO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.98560161240,-3.93927494531
ESMERALDAS,ESMERALDAS,TABIAZO,ESMERALDAS,TABIAZO-CRNEL. CARLOS C. TORRES (CAB. EN HUELE),DISPENSARIO TACOLE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.69743454450,0.79983224595
TUNGURAHUA,PATATE,SUCRE (CAB. EN SUCRE-PATATE URCU),PATATE-SAN PEDRO DE PELILEO,EL TRIUNFO-PATATE-LOS ANDES (CAB EN POATUG)-SUCRE (CAB EN SUCRE- PATATE  URCO),SUCRE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.49365188820,-1.26271795025
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,SAN ANTONIO DE HIOPLONGUITO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.61430825280,-1.43673181738
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,YAYULIHUI,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.62351323620,-1.40285263873
CHIMBORAZO,ALAUSI,ACHUPALLAS,ALAUSI-CHUNCHI,ACHUPALLAS,DISPENSARIO COBSHE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.73736589820,-2.23406366426
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,CENTRO DE SALUD QUERO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.60768559130,-1.37815902578
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,EL PLACER,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.58780409230,-1.41889658141
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,HUALCANGA SANTA ANITA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.59009138620,-1.43898410979
TUNGURAHUA,QUERO,QUERO,CEVALLOS-MOCHA-QUERO-TISALEO,QUERO,DISPENSARIO PUÐACHIZAG,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.59909512650,-1.40528100610
ESMERALDAS,ELOY ALFARO,LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO),ELOY ALFARO,LUIS V. TORRES (CAB. EN PLAYA DE ORO)-SELVA ALEGRE-COLON ELOY DEL MARIA-MALDONADO-TIMBIRE,PLAYA DE ORO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.79466000000,0.87542000001
TUNGURAHUA,QUERO,RUMIPAMBA,CEVALLOS-MOCHA-QUERO-TISALEO,YANAYACU - MOCHAPATA (CAB EN YANAYACU)-RUMIPAMBA,EL SANTUARIO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.64837430430,-1.44746121716
TUNGURAHUA,QUERO,RUMIPAMBA,CEVALLOS-MOCHA-QUERO-TISALEO,YANAYACU - MOCHAPATA (CAB EN YANAYACU)-RUMIPAMBA,HIPOLONGO 4 ESQUINAS,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.64041074610,-1.42661674112
TUNGURAHUA,QUERO,YANAYACU - MOCHAPATA (CAB. EN YANAYACU),CEVALLOS-MOCHA-QUERO-TISALEO,YANAYACU - MOCHAPATA (CAB EN YANAYACU)-RUMIPAMBA,YANAYACU,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.66240364920,-1.43039985263
BOLIVAR,CHIMBO,MAGDALENA (CHAPACOTO),CHIMBO-SAN MIGUEL,MAGDALENA (CHAPACOTO)-ASUNCION (ASANCOTO),DISPENSARIO COCHABAMBA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.10068965140,-1.67300405295
ESMERALDAS,ATACAMES,LA UNIËN,MUISNE-ATACAMES,LA UNION,DISPENSARIO BOCA DE TAZONE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.84843092770,0.74402343816
TUNGURAHUA,SAN PEDRO DE PELILEO,PELILEO,PATATE-SAN PEDRO DE PELILEO,PELILEO,TELIGOTE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.56633491470,-1.35207532568
TUNGURAHUA,SAN PEDRO DE PELILEO,PELILEO,PATATE-SAN PEDRO DE PELILEO,PELILEO,ARTEZON,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.51011783870,-1.34883631543
TUNGURAHUA,SAN PEDRO DE PELILEO,PELILEO,PATATE-SAN PEDRO DE PELILEO,PELILEO,HOSPITAL BASICO PELILEO,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-78.54144024330,-1.33345707552
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),DISPENSARIO LOS ARENALES,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.39446796810,0.36055772949
TUNGURAHUA,SAN PEDRO DE PELILEO,BEN═TEZ (PACHANLICA),PATATE-SAN PEDRO DE PELILEO,SALASACA-BENITEZ (PACHANLICA)-EL ROSARIO (RUMICHACA),BENITEZ,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.58455407320,-1.33745017472
TUNGURAHUA,SAN PEDRO DE PELILEO,EL ROSARIO (RUMICHACA),PATATE-SAN PEDRO DE PELILEO,SALASACA-BENITEZ (PACHANLICA)-EL ROSARIO (RUMICHACA),ROSARIO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.56586148770,-1.29418873543
TUNGURAHUA,SAN PEDRO DE PELILEO,BOL═VAR,PATATE-SAN PEDRO DE PELILEO,COTALO-GUAMBALO (HUAMBALO)-BOLIVAR,BOLIVAR,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.54084513930,-1.38024174070
TUNGURAHUA,SAN PEDRO DE PELILEO,COTALË,PATATE-SAN PEDRO DE PELILEO,COTALO-GUAMBALO (HUAMBALO)-BOLIVAR,COTALO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.51263777710,-1.42955440066
COTOPAXI,SAQUISIL═,COCHAPAMBA,PUJILI-SAQUISILI,COCHAPAMBA-CANCHAGUA,DISPENSARIO COCHAPAMBA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.75258658080,-0.83723290806
ZAMORA CHINCHIPE,NANGARITZA,NUEVO PARA═SO,NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA,NUEVO PARAISO,NUEVO PARAISO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.65891027280,-4.37384771474
ZAMORA CHINCHIPE,NANGARITZA,NUEVO PARA═SO,NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA,NUEVO PARAISO,YAVI,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.64674226250,-4.43174168967
ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOS╔ DE YACUAMBI),ZAMORA-YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),28 DE MAYO (YACUAMBI),PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.92634972950,-3.63681295812
ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOS╔ DE YACUAMBI),ZAMORA-YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),LA ESPERANZA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.93816600140,-3.57661735154
NAPO,TENA,AHUANO,TENA-ARCHIDONA-CARLOS JULIO AROSEMENA TOLA,AHUANO,AHUANO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-77.54696230750,-1.05886485165
ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,ZAMORA-YACUAMBI,LA PAZ,CHAPINTZA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.87122544210,-3.76787368940
ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,ZAMORA-YACUAMBI,LA PAZ,LA PAZ,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.89657346200,-3.70189215694
ZAMORA CHINCHIPE,YACUAMBI,TUTUPALI,ZAMORA-YACUAMBI,TUTUPALI,TUTUPALI,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.95161459170,-3.52947971472
ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),YANTZAZA (YANZATZA),YANTZAZA- EL PANGUI,YANTZAZA (YANZATZA)-CHICAÐA,DISPENSARIO CHIMBUTZA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.74516364780,-3.77653117883
EL ORO,MACHALA,EL RETIRO,MACHALA,EL RETIRO,EL RETIRO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.90878151550,-3.38652197442
ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),CHICAÐA,YANTZAZA- EL PANGUI,YANTZAZA (YANZATZA)-CHICAÐA,SAN VICENTE DE CANEY,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.77709786650,-3.69299323515
ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),CHICAÐA,YANTZAZA- EL PANGUI,YANTZAZA (YANZATZA)-CHICAÐA,CHICAÐA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.74934265080,-3.72299905448
EL ORO,SANTA ROSA,SAN ANTONIO,ARENILLAS-LAS LAJAS-HUAQUILLAS,ARENILLAS,EL JOBO SAN VICENTE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.02996837490,-3.53821187630
ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),LOS ENCUENTROS,YANTZAZA- EL PANGUI,LOS ENCUENTROS,EL PINCHO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.65002932530,-3.75945659933
ZAMORA CHINCHIPE,YANTZAZA (YANZATZA),LOS ENCUENTROS,YANTZAZA- EL PANGUI,LOS ENCUENTROS,EL ZARZA  (JARDIN DEL CONDOR),PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.57257121200,-3.84050271544
